,x,Freq. Ass.,Freq. Rel.,MEAN,N,SUM,MEAN,MEAN
,<i>,,p(i),Σi*p(i),,,,
1,25,1,0.00390625,29,256,7424,29,29
2,26,8,0.03125,,,,,
3,26,,,,,,,
4,26,,,,,,,
5,26,,,,,,,
6,26,,,,,,,
7,26,,,,,,,
8,26,,,,,,,
9,26,,,,,,,
10,27,28,0.109375,,,,,
11,27,,,,,,,
12,27,,,,,,,
13,27,,,,,,,
14,27,,,,,,,
15,27,,,,,,,
16,27,,,,,,,
17,27,,,,,,,
18,27,,,,,,,
19,27,,,,,,,
20,27,,,,,,,
21,27,,,,,,,
22,27,,,,,,,
23,27,,,,,,,
24,27,,,,,,,
25,27,,,,,,,
26,27,,,,,,,
27,27,,,,,,,
28,27,,,,,,,
29,27,,,,,,,
30,27,,,,,,,
31,27,,,,,,,
32,27,,,,,,,
33,27,,,,,,,
34,27,,,,,,,
35,27,,,,,,,
36,27,,,,,,,
37,27,,,,,,,
38,28,56,0.21875,,,,,
39,28,,,,,,,
40,28,,,,,,,
41,28,,,,,,,
42,28,,,,,,,
43,28,,,,,,,
44,28,,,,,,,
45,28,,,,,,,
46,28,,,,,,,
47,28,,,,,,,
48,28,,,,,,,
49,28,,,,,,,
50,28,,,,,,,
51,28,,,,,,,
52,28,,,,,,,
53,28,,,,,,,
54,28,,,,,,,
55,28,,,,,,,
56,28,,,,,,,
57,28,,,,,,,
58,28,,,,,,,
59,28,,,,,,,
60,28,,,,,,,
61,28,,,,,,,
62,28,,,,,,,
63,28,,,,,,,
64,28,,,,,,,
65,28,,,,,,,
66,28,,,,,,,
67,28,,,,,,,
68,28,,,,,,,
69,28,,,,,,,
70,28,,,,,,,
71,28,,,,,,,
72,28,,,,,,,
73,28,,,,,,,
74,28,,,,,,,
75,28,,,,,,,
76,28,,,,,,,
77,28,,,,,,,
78,28,,,,,,,
79,28,,,,,,,
80,28,,,,,,,
81,28,,,,,,,
82,28,,,,,,,
83,28,,,,,,,
84,28,,,,,,,
85,28,,,,,,,
86,28,,,,,,,
87,28,,,,,,,
88,28,,,,,,,
89,28,,,,,,,
90,28,,,,,,,
91,28,,,,,,,
92,28,,,,,,,
93,28,,,,,,,
94,29,70,0.2734375,,,,,
95,29,,,,,,,
96,29,,,,,,,
97,29,,,,,,,
98,29,,,,,,,
99,29,,,,,,,
100,29,,,,,,,
101,29,,,,,,,
102,29,,,,,,,
103,29,,,,,,,
104,29,,,,,,,
105,29,,,,,,,
106,29,,,,,,,
107,29,,,,,,,
108,29,,,,,,,
109,29,,,,,,,
110,29,,,,,,,
111,29,,,,,,,
